2022-11-28 02:40:12 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 02:40:12 | INFO     | DF | Running on host workstation3
2022-11-28 02:40:12 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 02:40:12 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 02:40:13 | WARNING  | DF | Could not find `best` checkpoint. Checking for default...
2022-11-28 02:40:13 | ERROR    | DF | Could not find a checkpoint
2022-11-28 02:42:42 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 02:42:42 | INFO     | DF | Running on host workstation3
2022-11-28 02:42:42 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 02:42:42 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 02:42:43 | WARNING  | DF | Could not find `best` checkpoint. Checking for default...
2022-11-28 02:42:43 | ERROR    | DF | Could not find a checkpoint
2022-11-28 02:43:33 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 02:43:33 | INFO     | DF | Running on host workstation3
2022-11-28 02:43:33 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 02:43:33 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 02:43:34 | WARNING  | DF | Could not find `best` checkpoint. Checking for default...
2022-11-28 02:43:34 | ERROR    | DF | Could not find a checkpoint
2022-11-28 02:45:15 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 02:45:15 | INFO     | DF | Running on host workstation3
2022-11-28 02:45:15 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 02:45:15 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 02:45:16 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 02:45:16 | INFO     | DF | Running on device cuda:2
2022-11-28 02:45:16 | INFO     | DF | Model loaded
2022-11-28 02:45:17 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_0.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 02:47:14 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 02:47:14 | INFO     | DF | Running on host workstation3
2022-11-28 02:47:14 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 02:47:14 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 02:47:15 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 02:47:15 | INFO     | DF | Running on device cuda:2
2022-11-28 02:47:15 | INFO     | DF | Model loaded
2022-11-28 02:47:16 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_10.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 02:48:37 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 02:48:37 | INFO     | DF | Running on host workstation3
2022-11-28 02:48:37 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 02:48:37 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 02:48:38 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 02:48:38 | INFO     | DF | Running on device cuda:2
2022-11-28 02:48:38 | INFO     | DF | Model loaded
2022-11-28 02:48:39 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_20.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 02:48:52 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 02:48:52 | INFO     | DF | Running on host workstation3
2022-11-28 02:48:52 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 02:48:52 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 02:48:53 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 02:48:53 | INFO     | DF | Running on device cuda:2
2022-11-28 02:48:53 | INFO     | DF | Model loaded
2022-11-28 02:48:54 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_30.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 02:49:09 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 02:49:09 | INFO     | DF | Running on host workstation3
2022-11-28 02:49:09 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 02:49:09 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 02:49:10 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 02:49:10 | INFO     | DF | Running on device cuda:2
2022-11-28 02:49:10 | INFO     | DF | Model loaded
2022-11-28 02:49:10 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_40.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:02:36 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:36 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:36 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:36 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:37 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:02:37 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:37 | INFO     | DF | Model loaded
2022-11-28 03:02:38 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_0.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:02:39 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:39 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:39 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:39 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:40 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
2022-11-28 03:02:40 | INFO     | DF | Running on device cuda:2
2022-11-28 03:02:40 | INFO     | DF | Model loaded
2022-11-28 03:02:40 | INFO     | DF | Enhanced noisy audio file 'noisy1_SNRdb_10.0_clnsp1.wav' in 0.3s (RT factor: 0.011)
2022-11-28 03:02:42 | INFO     | DF | Running on torch 1.13.0+cu117
2022-11-28 03:02:42 | INFO     | DF | Running on host workstation3
2022-11-28 03:02:42 | INFO     | DF | Loading model settings of df2_shrunk
2022-11-28 03:02:42 | INFO     | DF | Initializing model `deepfilternet2`
2022-11-28 03:02:43 | INFO     | DF | Found checkpoint models/df2_shrunk/checkpoints/model_30.ckpt.best with epoch 30
